timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614679009680,23,Kittens-40,200,OK,Bing Various 2-3,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,7000,149,5,7,http://www.bing.com/rp/BVRRZgrJAOx-_HOHkWyllv5vdF4.js,23,0,0
1614679007964,1881,Kittens,200,OK,Bing Various 2-4,text,false,One or more sub-samples failed,653385,6605,4,6,http://www.bing.com/images/search?q=Kittens,42,0,19
1614679007964,42,Kittens-0,301,Moved Permanently,Bing Various 2-4,,false,Response was null,275,135,4,6,http://bing.com/images/search?q=Kittens,42,0,19
1614679008007,465,Kittens-1,200,OK,Bing Various 2-4,text,true,,471457,139,4,6,http://www.bing.com/images/search?q=Kittens,107,0,23
1614679008493,19,Kittens-2,200,OK,Bing Various 2-4,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,4616,138,4,6,http://www.bing.com/sa/simg/favicon-2x.ico,19,0,0
1614679008512,20,Kittens-3,200,OK,Bing Various 2-4,text,true,,1376,150,4,6,http://www.bing.com/rp/XvRHqJwJt19aXQca73hQTfvNMxk.svg,20,0,0
1614679008532,18,Kittens-4,200,OK,Bing Various 2-4,text,true,,1502,150,4,6,http://www.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg,18,0,0
1614679008551,20,Kittens-5,200,OK,Bing Various 2-4,text,true,,1933,150,4,6,http://www.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg,20,0,0
1614679008571,21,Kittens-6,200,OK,Bing Various 2-4,text,true,,1113,150,4,6,http://www.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg,21,0,0
1614679008592,26,Kittens-7,200,OK,Bing Various 2-4,text,true,,1795,150,4,6,http://www.bing.com/rp/UYtUYDcn1oZlFG-YfBPz59zejYI.svg,26,0,0
1614679008618,18,Kittens-8,200,OK,Bing Various 2-4,text,true,,1557,150,4,6,http://www.bing.com/rp/KC_nX2_tPPyFvVw1RK20Yu1FyDk.svg,18,0,0
1614679008636,20,Kittens-9,200,OK,Bing Various 2-4,text,true,,1943,150,4,6,http://www.bing.com/rp/NnFHhz2jL6yzChtIhaB5IIVKY5k.svg,20,0,0
1614679008657,22,Kittens-10,200,OK,Bing Various 2-4,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1505,150,4,6,http://www.bing.com/rp/jZQUtjbvBNTFVhjuc1I6KRsoYFQ.css,22,0,0
1614679008679,19,Kittens-11,200,OK,Bing Various 2-4,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1545,150,4,6,http://www.bing.com/rp/DGRMR9NeVlyY3l85HlsGXYkE8_s.css,19,0,0
1614679008698,29,Kittens-12,200,OK,Bing Various 2-4,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1210,150,4,6,http://www.bing.com/rp/K1lFw1Mm-fGE5oJrZ4Sbf44j-54.css,29,0,0
1614679008727,19,Kittens-13,200,OK,Bing Various 2-4,text,true,,7544,150,4,6,http://www.bing.com/rp/IM8yRggr6PIeHc40CX57dqaq-lc.css,19,0,0
1614679008746,20,Kittens-14,200,OK,Bing Various 2-4,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1772,150,4,6,http://www.bing.com/rp/dPivqrU3cqe5fmsrlV6oVXWN6J8.css,20,0,0
1614679008766,22,Kittens-15,200,OK,Bing Various 2-4,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,4626,150,4,6,http://www.bing.com/rp/fWNNQ1PnvP0-d6lD80KSmXG3Q4o.css,22,0,0
1614679008788,22,Kittens-16,200,OK,Bing Various 2-4,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,2630,150,4,6,http://www.bing.com/rp/kFAqShRrnkQMbH6NYLBYoJ3lq9s.png,22,0,0
